t_qubits,m,shots,bitstring,probability
4,0,4096,0000,0.2392578125
4,0,4096,1000,0.2509765625
4,0,4096,1100,0.258544921875
4,0,4096,0100,0.251220703125
4,1,4096,0000,0.2392578125
4,1,4096,1000,0.2509765625
4,1,4096,1100,0.258544921875
4,1,4096,0100,0.251220703125
4,2,4096,0000,0.2392578125
4,2,4096,1000,0.2509765625
4,2,4096,1100,0.258544921875
4,2,4096,0100,0.251220703125
4,3,4096,0000,0.2392578125
4,3,4096,1000,0.2509765625
4,3,4096,1100,0.258544921875
4,3,4096,0100,0.251220703125
